region,degree,betweenness,closeness,pagerank,system,condition
Putamen_R,80,0.0016139143821392097,0.9081632653061225,0.01117283913128816,Subcortical,Anxiety
Pallidum_L,71,0.0005310914664597374,0.8317757009345794,0.00922955187400529,Subcortical,Anxiety
Pallidum_R,68,0.00032348276640275294,0.8090909090909091,0.008116761652829143,Subcortical,Anxiety
Thalamus_L,82,0.0014466578074782371,0.9270833333333334,0.014151163702900642,Subcortical,Anxiety
Thalamus_R,82,0.002098169495564479,0.9270833333333334,0.013345751323338805,Subcortical,Anxiety
Heschl_L,76,0.0031744590987143905,0.8725490196078431,0.010116758688442558,Language,Anxiety
Heschl_R,14,0.00020124804298762006,0.5426829268292683,0.003005314321873336,Language,Anxiety
Temporal_Sup_L,81,0.0019392857322985848,0.9175257731958762,0.013421645106376938,Language,Anxiety
Temporal_Sup_R,84,0.005326900842359518,0.9468085106382979,0.012796909054542074,Language,Anxiety
Temporal_Pole_Sup_L,82,0.00213095502265141,0.9270833333333334,0.013726759449442445,Language,Anxiety
Temporal_Pole_Sup_R,75,0.001847830858421011,0.8640776699029126,0.010425258667930164,Language,Anxiety
Temporal_Mid_L,83,0.001669118146349892,0.9368421052631579,0.014831929282499556,Language,Anxiety
Temporal_Mid_R,76,0.0025023845096329863,0.8725490196078431,0.01196553047032691,Language,Anxiety
Temporal_Pole_Mid_L,80,0.0011676688123591276,0.9081632653061225,0.012737206996479287,Language,Anxiety
Temporal_Pole_Mid_R,22,1.7546057050059712e-05,0.5705128205128205,0.003526340874194591,Language,Anxiety
Temporal_Inf_L,83,0.0017575922358773566,0.9368421052631579,0.014712401465490941,Language,Anxiety
Temporal_Inf_R,80,0.0025573914478678058,0.9081632653061225,0.013178978752440998,Language,Anxiety
Precentral_L,82,0.0021324760180325324,0.9270833333333334,0.01327792544088737,Somatomotor,ADHD
Precentral_R,84,0.002057415286062969,0.9468085106382979,0.015299461936852294,Somatomotor,ADHD
Frontal_Sup_L,82,0.00203115679774913,0.9270833333333334,0.0126130335908159,ExecutiveControl,ADHD
Frontal_Sup_R,82,0.001807400846733206,0.9270833333333334,0.013860472939252737,ExecutiveControl,ADHD
Frontal_Sup_Orb_L,42,0.0015312201649692527,0.6544117647058824,0.005306103180613987,ExecutiveControl,ADHD
Frontal_Sup_Orb_R,79,0.0009084953848677123,0.898989898989899,0.01145776765562385,ExecutiveControl,ADHD
Frontal_Mid_L,81,0.0015305212565628647,0.9175257731958762,0.01302378728113088,ExecutiveControl,ADHD
Frontal_Mid_R,84,0.0025360839043661637,0.9468085106382979,0.012956059109829297,ExecutiveControl,ADHD
Frontal_Mid_Orb_L,49,0.0010939907462545267,0.689922480620155,0.006598791794126969,ExecutiveControl,ADHD
Frontal_Mid_Orb_R,76,0.002618164302363252,0.8725490196078431,0.009622423419602972,ExecutiveControl,ADHD
Frontal_Inf_Oper_L,81,0.001331622589988926,0.9175257731958762,0.01373543598038799,Salience,ADHD
Frontal_Inf_Oper_R,83,0.0018761082676546474,0.9368421052631579,0.014287500348952107,Salience,ADHD
Frontal_Inf_Tri_L,83,0.001669118146349892,0.9368421052631579,0.014941098436026236,Subcortical,ADHD
Frontal_Inf_Tri_R,83,0.0018086080107320174,0.9368421052631579,0.013035746253488962,Subcortical,ADHD
Frontal_Inf_Orb_L,82,0.0023764063059219325,0.9270833333333334,0.014003283277641653,Subcortical,ADHD
Frontal_Inf_Orb_R,77,0.0044795505269207,0.8811881188118812,0.010326213673734094,Subcortical,ADHD
Rolandic_Oper_L,80,0.0029656108602539254,0.9081632653061225,0.01242326983110502,Somatomotor,ADHD
Rolandic_Oper_R,46,0.0013187955708220942,0.6742424242424242,0.0068767945408492424,Somatomotor,ADHD
Supp_Motor_Area_L,82,0.0014936272950545025,0.9270833333333334,0.013689214926313172,Subcortical,ADHD
